date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,total_deaths_per_million,icu_patients,hosp_patients,weekly_hosp_admissions,daily_case_change_rate,daily_death_change_rate,hospitalization_rate,icu_rate,case_fatality_rate,7day_avg_new_cases,7day_avg_new_deaths,hospitalization_need,icu_requirement,hospitalization_need_num,icu_requirement_num
2022-02-02,74713785.0,576521.0,887760.0,2779.0,220857.302,2624.258,21913.0,117164.0,111351.0,0.777639973333788,0.3140180410652884,0.1568171121299771,0.029329259654025,1.1882144640376604,441644.28571428574,2665.8571428571427,High,Medium,1,0
2022-02-03,75010243.0,296458.0,891836.0,4076.0,221733.645,2636.307,21330.0,112652.0,107132.0,0.396791569320173,0.4591330990357754,0.1501821557890433,0.0284361163847982,1.18895228748959,413533.71428571426,2743.8571428571427,High,Medium,1,0
2022-02-04,75313648.0,303405.0,895054.0,3218.0,222630.524,2645.82,20576.0,107664.0,101932.0,0.4044847581682945,0.3608286725362062,0.1429541694753652,0.0273204134262623,1.1884353284812337,378988.0,2716.5714285714284,High,Medium,1,0
2022-02-05,75663698.0,350050.0,897769.0,2715.0,223665.288,2653.845,19642.0,101670.0,97420.0,0.4647895956387612,0.3033336536119608,0.1343709106049773,0.025959608794167,1.186525406146551,347163.71428571426,2690.4285714285716,High,Medium,1,0
2022-02-06,75945588.0,281890.0,901194.0,3425.0,224498.567,2663.97,19280.0,99064.0,94160.0,0.3725564669070232,0.3815012547771197,0.1304407571378603,0.0253865965196029,1.1866311443924826,312672.85714285716,2664.8571428571427,High,Medium,1,0
2022-02-07,76050350.0,104762.0,902448.0,1254.0,224808.248,2667.677,18979.0,97280.0,90744.0,0.1379434971258633,0.1391487293523924,0.1279152561428054,0.0249558351802457,1.18664542635241,295900.0,2627.4285714285716,Medium,Medium,0,0
2022-02-08,76146928.0,96578.0,903162.0,714.0,225093.737,2669.787,18351.0,93609.0,86430.0,0.1269921834679262,0.0791181320142545,0.1229320767871292,0.0240994620295122,1.186078051631971,287094.85714285716,2597.285714285714,Medium,Medium,0,0
2022-02-09,76452286.0,305358.0,906463.0,3301.0,225996.389,2679.545,17716.0,90113.0,82452.0,0.4010115811894604,0.3654936766604441,0.1178682871562532,0.0231726229873623,1.1856584641563237,248357.2857142857,2671.8571428571427,Medium,Medium,0,0
2022-02-10,76650207.0,197921.0,910267.0,3804.0,226581.453,2690.79,17044.0,86034.0,78755.0,0.2588817291872737,0.4196530911907049,0.1122423583278777,0.0222360782404671,1.187559741358559,234280.57142857145,2633.0,Medium,Medium,0,0
2022-02-11,76846601.0,196394.0,913272.0,3005.0,227162.002,2699.673,16121.0,81494.0,75984.0,0.2562210953976941,0.3301229199784239,0.1060476311762962,0.0209781562101881,1.1884351267533615,218993.2857142857,2602.5714285714284,Medium,Medium,0,0
2022-02-12,77012391.0,165790.0,915851.0,2579.0,227652.085,2707.297,15437.0,76807.0,72936.0,0.215741487382116,0.2823912262721292,0.0997333013592578,0.0200448262929533,1.1892255104766194,192670.42857142855,2583.1428571428573,Medium,Medium,0,0
2022-02-13,77167700.0,155309.0,918744.0,2893.0,228111.185,2715.849,14886.0,74334.0,69715.0,0.2016675472392488,0.3158810767253625,0.0963278677477753,0.0192904544258802,1.1905810332561422,174587.42857142858,2507.1428571428573,Medium,Medium,0,0
2022-02-14,77235588.0,67888.0,919713.0,969.0,228311.865,2718.713,14391.0,72085.0,66542.0,0.0879746318731801,0.1054700765392753,0.0933313280401257,0.018632602369778,1.19078914761418,169319.7142857143,2466.4285714285716,Medium,Medium,0,0
2022-02-15,77283492.0,47904.0,920440.0,727.0,228453.472,2720.862,13814.0,68705.0,62785.0,0.0620232217303764,0.0790463981698638,0.0888999684434549,0.0178744511182284,1.1909917321023744,162366.2857142857,2468.285714285714,Medium,Medium,0,0
2022-02-16,77457785.0,174293.0,923413.0,2973.0,228968.69,2729.65,13145.0,65247.0,59326.0,0.2255242296763712,0.3229976967537264,0.0842355613448022,0.0169705343368649,1.1921500208145637,143642.7142857143,2421.4285714285716,Medium,Medium,0,0
